symbol,start_utc,end_utc,start_new_york,alpaca_classification,independent_status
IEF,2017-01-03T14:32:00+00:00,2017-01-03T14:33:00+00:00,2017-01-03T09:32:00-05:00,no_returned_trades,not_retrieved
IEF,2017-01-03T15:40:00+00:00,2017-01-03T15:41:00+00:00,2017-01-03T10:40:00-05:00,only_price_ineligible_trades,not_retrieved
IEF,2017-01-03T17:08:00+00:00,2017-01-03T17:09:00+00:00,2017-01-03T12:08:00-05:00,only_price_ineligible_trades,not_retrieved
IEF,2017-01-03T18:30:00+00:00,2017-01-03T18:31:00+00:00,2017-01-03T13:30:00-05:00,no_returned_trades,not_retrieved
IEF,2017-01-03T19:53:00+00:00,2017-01-03T19:54:00+00:00,2017-01-03T14:53:00-05:00,only_price_ineligible_trades,not_retrieved
BIL,2017-01-03T14:33:00+00:00,2017-01-03T14:34:00+00:00,2017-01-03T09:33:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:34:00+00:00,2017-01-03T14:35:00+00:00,2017-01-03T09:34:00-05:00,only_price_ineligible_trades,not_retrieved
BIL,2017-01-03T14:35:00+00:00,2017-01-03T14:36:00+00:00,2017-01-03T09:35:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:36:00+00:00,2017-01-03T14:37:00+00:00,2017-01-03T09:36:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:38:00+00:00,2017-01-03T14:39:00+00:00,2017-01-03T09:38:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:43:00+00:00,2017-01-03T14:44:00+00:00,2017-01-03T09:43:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:44:00+00:00,2017-01-03T14:45:00+00:00,2017-01-03T09:44:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:46:00+00:00,2017-01-03T14:47:00+00:00,2017-01-03T09:46:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:48:00+00:00,2017-01-03T14:49:00+00:00,2017-01-03T09:48:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:49:00+00:00,2017-01-03T14:50:00+00:00,2017-01-03T09:49:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:52:00+00:00,2017-01-03T14:53:00+00:00,2017-01-03T09:52:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:53:00+00:00,2017-01-03T14:54:00+00:00,2017-01-03T09:53:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:55:00+00:00,2017-01-03T14:56:00+00:00,2017-01-03T09:55:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T14:58:00+00:00,2017-01-03T14:59:00+00:00,2017-01-03T09:58:00-05:00,only_price_ineligible_trades,not_retrieved
BIL,2017-01-03T14:59:00+00:00,2017-01-03T15:00:00+00:00,2017-01-03T09:59:00-05:00,only_price_ineligible_trades,not_retrieved
BIL,2017-01-03T15:05:00+00:00,2017-01-03T15:06:00+00:00,2017-01-03T10:05:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:06:00+00:00,2017-01-03T15:07:00+00:00,2017-01-03T10:06:00-05:00,only_price_ineligible_trades,not_retrieved
BIL,2017-01-03T15:08:00+00:00,2017-01-03T15:09:00+00:00,2017-01-03T10:08:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:12:00+00:00,2017-01-03T15:13:00+00:00,2017-01-03T10:12:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:16:00+00:00,2017-01-03T15:17:00+00:00,2017-01-03T10:16:00-05:00,only_price_ineligible_trades,not_retrieved
BIL,2017-01-03T15:20:00+00:00,2017-01-03T15:21:00+00:00,2017-01-03T10:20:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:22:00+00:00,2017-01-03T15:23:00+00:00,2017-01-03T10:22:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:23:00+00:00,2017-01-03T15:24:00+00:00,2017-01-03T10:23:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:28:00+00:00,2017-01-03T15:29:00+00:00,2017-01-03T10:28:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:30:00+00:00,2017-01-03T15:31:00+00:00,2017-01-03T10:30:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:31:00+00:00,2017-01-03T15:32:00+00:00,2017-01-03T10:31:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:33:00+00:00,2017-01-03T15:34:00+00:00,2017-01-03T10:33:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:37:00+00:00,2017-01-03T15:38:00+00:00,2017-01-03T10:37:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:40:00+00:00,2017-01-03T15:41:00+00:00,2017-01-03T10:40:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:41:00+00:00,2017-01-03T15:42:00+00:00,2017-01-03T10:41:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:46:00+00:00,2017-01-03T15:47:00+00:00,2017-01-03T10:46:00-05:00,no_returned_trades,not_retrieved
BIL,2017-01-03T15:48:00+00:00,2017-01-03T15:49:00+00:00,2017-01-03T10:48:00-05:00,no_returned_trades,not_retrieved
